chr,start,end,eut,aai,aft,
1,6800001,6850000,95.97,0,4.02,
1,6850001,6900000,83.33,0,16.66,
1,6900001,6950000,88.36,11.63,0,
1,6950001,7000000,72.64,12.96,14.38,
1,7000001,7050000,62.72,12.77,24.5,
1,7050001,7100000,70.67,8.95,20.37,
1,7100001,7150000,59.15,16.73,24.11,
1,7150001,7200000,59.47,14.59,25.92,
1,7200001,7250000,85.18,14.81,0,
1,7250001,7300000,83.36,14.78,1.85,
1,7300001,7350000,78.58,15.53,5.87,
1,7350001,7400000,66.99,16.66,16.33,
1,7400001,7450000,70.15,22.47,7.37,
1,7450001,7500000,62.63,37.34,0.01,
1,7500001,7550000,67.48,24.16,8.34,
1,7550001,7600000,80.7,2.03,17.25,
1,7600001,7650000,94.74,1.12,4.13,
1,7650001,7700000,72.11,9.03,18.85,
1,7700001,7750000,73.25,14.25,12.49,
1,7750001,7800000,93.67,5.55,0.77,
1,7800001,7850000,76.97,17.2,5.82,
1,7850001,7900000,90.74,1.3,7.95,
1,7900001,7950000,91.76,0,8.23,
1,7950001,8000000,71.13,3.07,25.78,
1,8000001,8050000,66.24,6.64,27.1,
1,8050001,8100000,79.25,6.88,13.86,
1,8100001,8150000,86.75,5.27,7.97,
1,8150001,8200000,92.59,5.55,1.85,
1,8200001,8250000,94.54,3.95,1.49,
1,8250001,8300000,94.64,3.7,1.64,
1,8300001,8350000,80.68,19.31,0,
1,8350001,8400000,97.62,2.37,0,
1,8400001,8450000,98.14,1.85,0,
1,8450001,8500000,74.49,1.76,23.73,
1,8500001,8550000,77.77,22.22,0,
1,8550001,8600000,64.23,33.91,1.85,
1,8600001,8650000,61.11,38.88,0,
1,8650001,8700000,79.62,20.37,0,
1,8700001,8750000,74.02,25.97,0,
1,8750001,8800000,77.77,20.37,1.85,
1,8800001,8850000,85.32,3.93,10.74,
1,8850001,8900000,89.15,6.44,4.4,
1,8900001,8950000,81.48,0,18.51,
1,8950001,9000000,80.24,3.36,16.38,
1,9000001,9050000,98.68,1.31,0,
1,9050001,9100000,76.97,18.61,4.4,
1,9100001,9150000,98.14,0.62,1.22,
1,9150001,9200000,96.68,1.85,1.45,
1,9200001,9250000,64.81,33.33,1.85,
1,9250001,9300000,97.97,0,2.02,
1,9300001,9350000,78.9,21.09,0,
1,9350001,9400000,90.46,8.92,0.6,
1,9400001,9450000,95.95,4.04,0,
1,9450001,9500000,79.2,7.12,13.67,
1,9500001,9550000,70.37,27.77,1.85,
1,9550001,9600000,76.24,1.85,21.9,
1,9600001,9650000,66.11,0,33.88,
1,9650001,9700000,80.14,3.73,16.12,
1,9700001,9750000,77.28,4.88,17.83,
1,9750001,9800000,62.52,14.05,23.41,
1,9800001,9850000,70.13,0,29.86,
1,9850001,9900000,65.3,12.43,22.25,
1,9900001,9950000,60.62,0,39.37,
1,9950001,10000000,62.96,0,37.03,
1,10000001,10050000,62.96,0,37.03,
1,10050001,10100000,73.77,16.85,9.36,
1,10100001,10150000,68.54,5.9,25.55,
1,10150001,10200000,56.52,42.5,0.97,
1,10200001,10250000,61.12,34.78,4.08,
1,10250001,10300000,71.99,26.59,1.41,
1,10300001,10350000,79.36,2.02,18.6,
1,10350001,10400000,74.71,23.89,1.39,
1,10400001,10450000,96.97,3.02,0,
1,10450001,10500000,79.48,6.85,13.66,
1,10500001,10550000,92.59,0,7.4,
1,10550001,10600000,99.06,0.93,0,
1,10600001,10650000,95.33,4.66,0,
1,10650001,10700000,66.66,0,33.33,
1,10700001,10750000,99.38,0,0.61,
1,10750001,10800000,90.66,8.58,0.74,
1,10800001,10850000,94.48,1.04,4.47,
1,10850001,10900000,100,0,0,
1,10900001,10950000,99.97,0.02,0,
1,10950001,11000000,97.94,0,2.05,
1,11000001,11050000,90.74,0,9.25,
1,11050001,11100000,99.7,0,0.29,
1,11100001,11150000,92.11,0.48,7.4,
1,11150001,11200000,88.02,11.59,0.37,
1,11200001,11250000,92.24,5.9,1.85,
1,11250001,11300000,99.49,0,0.5,
1,11300001,11350000,100,0,0,
1,11350001,11400000,100,0,0,
1,11400001,11450000,66.66,1.85,31.48,
1,11450001,11500000,69.72,0,30.27,
1,11500001,11550000,67.14,4.8,28.04,
1,11550001,11600000,90.52,5.19,4.28,
1,11600001,11650000,99.24,0.08,0.66,
1,11650001,11700000,68.51,15.58,15.89,
1,11700001,11750000,80.33,0.49,19.16,
1,11750001,11800000,100,0,0,
1,11800001,11850000,99.47,0.39,0.13,
1,11850001,11900000,100,0,0,
1,11900001,11950000,100,0,0,
1,11950001,12000000,48.14,50,1.85,
1,12000001,12050000,100,0,0,
1,12050001,12100000,100,0,0,
1,12100001,12150000,100,0,0,
1,12150001,12200000,100,0,0,
1,12200001,12250000,92.95,0,7.04,
1,12250001,12300000,42.35,36.76,20.87,
1,12300001,12350000,74.5,0,25.49,
1,12350001,12400000,65.71,22.91,11.36,
1,12400001,12450000,61.32,36.81,1.85,
1,12450001,12500000,65.96,0,34.03,
1,12500001,12550000,63.65,36.34,0,
1,12550001,12600000,80.66,0,19.33,
1,12600001,12650000,98.14,1.85,0,
1,12650001,12700000,89.78,2.84,7.37,
1,12700001,12750000,90.8,2.28,6.9,
1,12750001,12800000,90.38,7.64,1.96,
1,12800001,12850000,93.63,5.56,0.79,
1,12850001,12900000,96.4,2.32,1.26,
1,12900001,12950000,100,0,0,
1,12950001,13000000,100,0,0,
1,13000001,13050000,88.91,0,11.08,
1,13050001,13100000,77.51,20.63,1.85,
1,13100001,13150000,77.77,0,22.22,
1,13150001,13200000,76.78,0,23.21,
1,13200001,13250000,100,0,0,
1,13250001,13300000,73.34,0.07,26.58,
1,13300001,13350000,74.05,0.31,25.62,
1,13350001,13400000,72.22,0,27.77,
1,13400001,13450000,89.55,1.18,9.25,
1,13450001,13500000,70.49,27.77,1.73,
1,13500001,13550000,72.22,0,27.77,
1,13550001,13600000,100,0,0,
1,13600001,13650000,97.36,0.78,1.85,
1,13650001,13700000,58.2,36.17,5.62,
1,13700001,13750000,96.38,1.76,1.85,
1,13750001,13800000,100,0,0,
1,13800001,13850000,100,0,0,
1,13850001,13900000,100,0,0,
1,13900001,13950000,98.46,1.53,0,
1,13950001,14000000,99,0.99,0,
1,14000001,14050000,94.44,1.85,3.7,
1,14050001,14100000,96.42,3.28,0.29,
1,14100001,14150000,96.2,3.79,0,
1,14150001,14200000,98.14,0.24,1.6,
1,14200001,14250000,98.82,0,1.17,
1,14250001,14300000,81.83,16.66,1.5,
1,14300001,14350000,98.14,0,1.85,
1,14350001,14400000,79.62,0,20.37,
1,14400001,14450000,80.57,1.85,17.57,
1,14450001,14500000,80.79,1.85,17.35,
1,14500001,14550000,76.66,1.85,21.48,
1,14550001,14600000,61.11,24.07,14.81,
1,14600001,14650000,66.24,1.85,31.9,
1,14650001,14700000,60.76,1.85,37.37,
1,14700001,14750000,80.22,1.2,18.56,
1,14750001,14800000,97.71,0,2.28,
1,14800001,14850000,98.23,0,1.76,
1,14850001,14900000,98.05,1.94,0,
1,14900001,14950000,90.12,0,9.87,
1,14950001,15000000,76.5,23.49,0,
1,15000001,15050000,100,0,0,
1,15050001,15100000,100,0,0,
1,15100001,15150000,91.63,7.89,0.47,
1,15150001,15200000,75.87,22.22,1.9,
1,15200001,15250000,93.66,4.22,2.1,
1,15250001,15300000,99.24,0,0.75,
1,15300001,15350000,62.27,37.72,0,
1,15350001,15400000,49.92,42.17,7.9,
1,15400001,15450000,94.83,5.16,0,
1,15450001,15500000,78.96,21.03,0,
1,15500001,15550000,77.38,2.36,20.24,
1,15550001,15600000,92.42,3.87,3.7,
1,15600001,15650000,61.04,31.43,7.52,
1,15650001,15700000,90.33,0,9.66,
1,15700001,15750000,59.89,40.1,0,
1,15750001,15800000,80.88,14.38,4.72,
1,15800001,15850000,95.91,4.08,0,
1,15850001,15900000,75.8,22.36,1.83,
1,15900001,15950000,69.37,30.11,0.51,
1,15950001,16000000,35.51,0,64.48,
1,16000001,16050000,85.53,14.46,0,
1,16050001,16100000,88.28,5.69,6.01,
1,16100001,16150000,95.95,2.38,1.65,
1,16150001,16200000,81.98,12.12,5.89,
1,16200001,16250000,75.92,14.85,9.22,
1,16250001,16300000,76.01,5.55,18.42,
1,16300001,16350000,76.72,10.16,13.11,
1,16350001,16400000,81.56,5.04,13.39,
1,16400001,16450000,77.77,3.7,18.51,
1,16450001,16500000,77.75,3.7,18.54,
1,16500001,16550000,79.02,2.45,18.51,
1,16550001,16600000,99.55,0,0.44,
1,16600001,16650000,96.82,0.52,2.65,
1,16650001,16700000,92.4,1.75,5.83,
1,16700001,16750000,83.33,4.95,11.71,
1,16750001,16800000,21.47,7.82,70.69,
1,16800001,16850000,96.63,0.18,3.17,
1,16850001,16900000,93.27,1.38,5.34,
1,16900001,16950000,84.75,1.03,14.2,
1,16950001,17000000,87.63,2.12,10.23,
1,17000001,17050000,96.29,3.7,0,
1,17050001,17100000,93.4,6.39,0.2,
1,17100001,17150000,90.74,9.25,0,
1,17150001,17200000,94.46,3.67,1.85,
1,17200001,17250000,94.44,5.55,0,
1,17250001,17300000,59.25,22.22,18.51,
1,17300001,17350000,92.33,5.81,1.85,
1,17350001,17400000,96.29,1.85,1.85,
1,17400001,17450000,96.25,2.37,1.36,
1,17450001,17500000,79.86,20.13,0,
1,17500001,17550000,77.99,20.56,1.43,
1,17550001,17600000,89.28,8.48,2.23,
1,17600001,17650000,80.48,13.96,5.55,
1,17650001,17700000,95.13,1.07,3.79,
1,17700001,17750000,87.44,7.61,4.94,
1,17750001,17800000,93.41,1.85,4.73,
1,17800001,17850000,95.04,4.19,0.75,
1,17850001,17900000,100,0,0,
1,17900001,17950000,52.78,47.21,0,
1,17950001,18000000,72.79,27.2,0,
1,18000001,18050000,93.16,3.84,2.99,
1,18050001,18100000,98.87,0,1.12,
1,18100001,18150000,93,5.14,1.85,
1,18150001,18200000,99.14,0,0.85,
1,18200001,18250000,75.58,0,24.41,
1,18250001,18300000,89.67,10.04,0.28,
1,18300001,18350000,95.46,0.82,3.7,
1,18350001,18400000,79.13,15.48,5.37,
1,18400001,18450000,91.63,7.91,0.44,
1,18450001,18500000,63.14,35.15,1.7,
1,18500001,18550000,87.03,9.25,3.7,
1,18550001,18600000,90.55,8.28,1.16,
1,18600001,18650000,86.91,13.08,0,
1,18650001,18700000,92.71,3.13,4.14,
1,18700001,18750000,93.27,3.29,3.42,
1,18750001,18800000,96.29,0,3.7,
1,18800001,18850000,97.77,0.36,1.85,
1,18850001,18900000,94.44,3.16,2.38,
1,18900001,18950000,97.54,0.6,1.85,
1,18950001,19000000,96.29,1.85,1.85,
1,19000001,19050000,90.76,7.4,1.83,
1,19050001,19100000,100,0,0,
1,19100001,19150000,100,0,0,
1,19150001,19200000,46.29,53.7,0,
1,19200001,19250000,46.29,0,53.7,
1,19250001,19300000,100,0,0,
1,19300001,19350000,100,0,0,
1,19350001,19400000,86.61,13.18,0.19,
1,19400001,19450000,96.7,3.29,0,
1,19450001,19500000,63.8,36.19,0,
1,19500001,19550000,100,0,0,
1,19550001,19600000,97.25,0.88,1.85,
1,19600001,19650000,100,0,0,
1,19650001,19700000,98.67,1.32,0,
1,19700001,19750000,78.29,21.7,0,
1,19750001,19800000,88.88,11.11,0,
1,19800001,19850000,61.11,1.98,36.89,
1,19850001,19900000,90.74,0.8,8.45,
1,19900001,19950000,94.09,0,5.9,
1,19950001,20000000,100,0,0,
1,20000001,20050000,100,0,0,
1,20050001,20100000,100,0,0,
1,20100001,20150000,100,0,0,
1,20150001,20200000,100,0,0,
1,20200001,20250000,98.14,1.85,0,
1,20250001,20300000,100,0,0,
1,20300001,20350000,80.49,16.61,2.89,
1,20350001,20400000,78.3,0.67,21.02,
1,20400001,20450000,85.52,8.36,6.1,
1,20450001,20500000,94.71,1.58,3.7,
1,20500001,20550000,100,0,0,
1,20550001,20600000,90.39,0.48,9.12,
1,20600001,20650000,96.39,1.24,2.36,
1,20650001,20700000,70.94,22.8,6.25,
1,20700001,20750000,90.86,0,9.13,
1,20750001,20800000,93.84,0.59,5.55,
1,20800001,20850000,90.74,3.7,5.55,
1,20850001,20900000,94.76,0,5.23,
1,20900001,20950000,90.74,4.67,4.58,
1,20950001,21000000,95.11,3.03,1.85,
1,21000001,21050000,96.49,0.26,3.23,
1,21050001,21100000,87.37,0,12.62,
1,21100001,21150000,92.04,0,7.95,
1,21150001,21200000,89.26,7.9,2.82,
1,21200001,21250000,89.03,9.11,1.85,
1,21250001,21300000,88.88,9.25,1.85,
1,21300001,21350000,88.98,9.27,1.74,
1,21350001,21400000,90.73,8.33,0.93,
1,21400001,21450000,95.53,0,4.46,
1,21450001,21500000,96.29,3.7,0,
1,21500001,21550000,100,0,0,
1,21550001,21600000,98.14,1.85,0,
1,21600001,21650000,98.14,1.85,0,
1,21650001,21700000,88.88,9.25,1.85,
1,21700001,21750000,76.22,1.77,21.99,
1,21750001,21800000,96.23,1.23,2.52,
1,21800001,21850000,64.33,28.39,7.27,
1,21850001,21900000,71,3.3,25.69,
1,21900001,21950000,87.94,5.33,6.72,
1,21950001,22000000,92.59,0,7.4,
1,22000001,22050000,87.87,0,12.12,
1,22050001,22100000,92.14,0,7.85,
1,22100001,22150000,31.67,2.99,65.33,
1,22150001,22200000,29.44,3.7,66.85,
1,22200001,22250000,34.48,7.4,58.1,
1,22250001,22300000,84.36,6.13,9.5,
1,22300001,22350000,100,0,0,
1,22350001,22400000,74.06,0,25.93,
1,22400001,22450000,70.46,3.62,25.91,
1,22450001,22500000,56.19,0,43.8,
1,22500001,22550000,43.62,10.88,45.49,
1,22550001,22600000,69.22,17.49,13.28,
1,22600001,22650000,96.29,0,3.7,
1,22650001,22700000,94.95,1.16,3.87,
1,22700001,22750000,100,0,0,
1,22750001,22800000,64.81,0,35.18,
1,22800001,22850000,100,0,0,
1,22850001,22900000,100,0,0,
1,22900001,22950000,96.52,0,3.47,
1,22950001,23000000,69.64,29.39,0.96,
1,23000001,23050000,74.01,25.32,0.66,
1,23050001,23100000,67.39,31.79,0.8,
1,23100001,23150000,61.77,6.88,31.34,
1,23150001,23200000,90.49,1.38,8.12,
1,23200001,23250000,92.97,1.55,5.46,
1,23250001,23300000,81.04,15.57,3.37,
1,23300001,23350000,85.24,9.95,4.79,
1,23350001,23400000,97.1,0.95,1.93,
1,23400001,23450000,92.45,0,7.54,
1,23450001,23500000,98.94,1.05,0,
1,23500001,23550000,100,0,0,
1,23550001,23600000,100,0,0,
1,23600001,23650000,100,0,0,
1,23650001,23700000,97.98,0,2.01,
1,23700001,23750000,76.07,0,23.92,
1,23750001,23800000,81.48,0,18.51,
1,23800001,23850000,82.45,1.73,15.8,
1,23850001,23900000,98.59,1.37,0.02,
1,23900001,23950000,97.01,0.03,2.94,
1,23950001,24000000,52.37,0,47.62,
1,24000001,24050000,63.26,0,36.73,
1,24050001,24100000,73.03,10.8,16.15,
1,24100001,24150000,73.02,0.15,26.82,
1,24150001,24200000,65.68,0.21,34.1,
1,24200001,24250000,68.91,0.42,30.65,
1,24250001,24300000,19.83,0,80.16,
1,24300001,24350000,30.54,0.22,69.22,
1,24350001,24400000,44.72,0,55.27,
1,24400001,24450000,18.85,38.58,42.55,
1,24450001,24500000,52.17,15.87,31.95,
1,24500001,24550000,81.19,0,18.8,
1,24550001,24600000,76.46,0.78,22.75,
1,24600001,24650000,75.36,4.22,20.41,
1,24650001,24700000,90.28,4.01,5.69,
1,24700001,24750000,89.64,9.4,0.94,
1,24750001,24800000,87.7,0.44,11.84,
1,24800001,24850000,83.96,1.24,14.78,
1,24850001,24900000,87.66,0.3,12.03,
1,24900001,24950000,85.06,0,14.93,
1,24950001,25000000,97.47,0.19,2.32,
1,25000001,25050000,96.04,1.92,2.02,
1,25050001,25100000,68.21,0,31.78,
1,25100001,25150000,74.82,21.75,3.42,
1,25150001,25200000,66.91,0.6,32.48,
1,25200001,25250000,82.41,0.38,17.2,
1,25250001,25300000,97.88,0.74,1.37,
1,25300001,25350000,76.44,0.45,23.09,
1,25350001,25400000,70.2,10.2,19.58,
1,25400001,25450000,78.44,1.68,19.86,
1,25450001,25500000,54.82,2.51,42.66,
1,25500001,25550000,51.42,2.69,45.88,
1,25550001,25600000,89.65,0.1,10.23,
1,25600001,25650000,82.27,0.46,17.26,
1,25650001,25700000,55.15,0.35,44.48,
1,25700001,25750000,89.99,2.52,7.47,
1,25750001,25800000,86.82,1.51,11.65,
1,25800001,25850000,91.11,5.52,3.35,
1,25850001,25900000,87.29,0,12.7,
1,25900001,25950000,61.23,9.36,29.39,
1,25950001,26000000,82.61,0.28,17.09,
1,26000001,26050000,48.14,0,51.85,
1,26050001,26100000,88.76,0.77,10.46,
1,26100001,26150000,92.71,0.5,6.78,
1,26150001,26200000,93.67,0,6.32,
1,26200001,26250000,94.44,0,5.55,
1,26250001,26300000,88,1.17,10.81,
1,26300001,26350000,81.72,0.62,17.64,
1,26350001,26400000,91.48,1.6,6.9,
1,26400001,26450000,92.59,3.7,3.7,
1,26450001,26500000,95.73,0.56,3.7,
1,26500001,26550000,91.9,2.89,5.19,
1,26550001,26600000,87.48,0.81,11.7,
1,26600001,26650000,30.72,0.66,68.6,
1,26650001,26700000,44.2,2.61,53.18,
1,26700001,26750000,48.14,0,51.85,
1,26750001,26800000,48.14,0,51.85,
1,26800001,26850000,32.94,0,67.05,
1,26850001,26900000,26.72,4.47,68.8,
1,26900001,26950000,20.77,5.43,73.79,
1,26950001,27000000,34.58,17.27,48.13,
1,27000001,27050000,19.73,4.33,75.92,
1,27050001,27100000,29.33,0,70.66,
1,27100001,27150000,79.37,2.1,18.51,
1,27150001,27200000,74.61,5.6,19.77,
1,27200001,27250000,71.63,9.84,18.51,
1,27250001,27300000,76.72,1.57,21.69,
1,27300001,27350000,82.97,6.94,10.08,
1,27350001,27400000,75.75,21.66,2.57,
1,27400001,27450000,75.3,4.27,20.41,
1,27450001,27500000,92.71,4.72,2.55,
1,27500001,27550000,81.74,5.93,12.31,
1,27550001,27600000,86.61,2.16,11.22,
1,27600001,27650000,79.31,20.35,0.32,
1,27650001,27700000,78.94,0.54,20.51,
1,27700001,27750000,92.38,6.87,0.74,
1,27750001,27800000,98.14,0,1.85,
1,27800001,27850000,96.64,1.85,1.5,
1,27850001,27900000,98.14,0,1.85,
1,27900001,27950000,92.78,0,7.21,
1,27950001,28000000,81.61,16.66,1.71,
1,28000001,28050000,73.77,22.42,3.79,
1,28050001,28100000,64.46,2.19,33.33,
1,28100001,28150000,85.18,12.96,1.85,
1,28150001,28200000,98.14,0,1.85,
1,28200001,28250000,56.06,29.62,14.3,
1,28250001,28300000,89.42,5.59,4.98,
1,28300001,28350000,86.34,0,13.65,
1,28350001,28400000,80.87,0,19.12,
1,28400001,28450000,85.12,12.09,2.78,
1,28450001,28500000,96.9,0.82,2.26,
1,28500001,28550000,97.37,0,2.62,
1,28550001,28600000,91.04,5.07,3.87,
1,28600001,28650000,93.61,2.45,3.93,
1,28650001,28700000,92.59,3.7,3.7,
1,28700001,28750000,100,0,0,
1,28750001,28800000,96.29,0,3.7,
1,28800001,28850000,93.14,1.55,5.29,
1,28850001,28900000,78.69,5.28,16.01,
1,28900001,28950000,83.98,13.96,2.05,
1,28950001,29000000,68.01,13.77,18.21,
1,29000001,29050000,85.18,14.81,0,
1,29050001,29100000,43.51,46.83,9.65,
1,29100001,29150000,50.07,49.83,0.09,
1,29150001,29200000,45.93,18.44,35.61,
1,29200001,29250000,87.58,12.41,0,
1,29250001,29300000,46.16,0.57,53.26,
1,29300001,29350000,90.78,0,9.21,
1,29350001,29400000,75.2,20.41,4.37,
1,29400001,29450000,51.61,44.67,3.7,
1,29450001,29500000,52.69,0,47.3,
1,29500001,29550000,39.16,18.09,42.74,
1,29550001,29600000,81.67,3.7,14.62,
1,29600001,29650000,75.92,0,24.07,
1,29650001,29700000,89.14,1.85,9,
1,29700001,29750000,91.29,1.4,7.29,
1,29750001,29800000,92.59,1.85,5.55,
1,29800001,29850000,92.59,1.85,5.55,
1,29850001,29900000,100,0,0,
1,29900001,29950000,89.47,1.26,9.25,
1,29950001,30000000,90.67,0.69,8.62,
1,30000001,30050000,60.04,22.22,17.73,
1,30050001,30100000,79.62,20.37,0,
1,30100001,30150000,82.95,15.31,1.73,
1,30150001,30200000,63.03,8.96,28,
1,30200001,30250000,49.29,4.48,46.22,
1,30250001,30300000,53.7,39.48,6.8,
1,30300001,30350000,53.7,46.29,0,
1,30350001,30400000,72.28,0.13,27.58,
1,30400001,30450000,65.85,33.25,0.88,
1,30450001,30500000,30.08,0,69.91,
1,30500001,30550000,91.33,6.82,1.84,
1,30550001,30600000,94.44,3.7,1.85,
1,30600001,30650000,94.44,1.85,3.7,
1,30650001,30700000,89.03,10.96,0,
1,30700001,30750000,98.32,0,1.67,
1,30750001,30800000,81.34,18.65,0,
1,30800001,30850000,92.17,0,7.82,
1,30850001,30900000,89,1.73,9.25,
1,30900001,30950000,44.65,55.34,0,
1,30950001,31000000,98.71,0.03,1.25,
1,31000001,31050000,86.23,0,13.76,
1,31050001,31100000,100,0,0,
1,31100001,31150000,93.29,0,6.7,
1,31150001,31200000,96.22,0,3.77,
1,31200001,31250000,91.93,1.81,6.24,
1,31250001,31300000,77.69,4.02,18.28,
1,31300001,31350000,38.35,3.7,57.94,
1,31350001,31400000,41.55,0,58.44,
1,31400001,31450000,42.59,2.59,54.81,
1,31450001,31500000,67.72,0,32.27,
1,31500001,31550000,95.85,4.14,0,
1,31550001,31600000,94.98,5.01,0,
1,31600001,31650000,47.23,2,50.75,
1,31650001,31700000,98.14,1.04,0.8,
1,31700001,31750000,90.74,0,9.25,
1,31750001,31800000,33.33,1.85,64.81,
1,31800001,31850000,44.44,0,55.55,
1,31850001,31900000,98.14,1.85,0,
1,31900001,31950000,92.3,7.69,0,
1,31950001,32000000,90.74,8.97,0.28,
1,32000001,32050000,93.53,6.46,0,
1,32050001,32100000,87.03,9.25,3.7,
1,32100001,32150000,98.14,1.85,0,
1,32150001,32200000,37.95,51.47,10.57,
