Gene	Ancestry	Variant rank	GeneId	TranscriptId	BioType	AFI	Afrikaner	Ankole	Bonsmara	Egyptian_cattle_Lower	Egyptian_cattle_Middle	Egyptian_cattle_Upper	Karamojong	Nganda	Nguni	Nkedi	Ntuuku	Tuli	Retention breed count
ANTXR2	aai	moderate	ENSBTAG00000014324	ENSBTAT00000067994	protein_coding	1	0	0	0	1	1	1	1	0	1	0	0	0	6
ENSBTAG00000003383	aai	high	ENSBTAG00000003383	ENSBTAT00000004385	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000005997	aai	high	ENSBTAG00000005997	ENSBTAT00000074597	protein_coding	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSBTAG00000013871	aai	high	ENSBTAG00000013871	ENSBTAT00000018418	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSBTAG00000027245	aai	high	ENSBTAG00000027245	ENSBTAT00000039058	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000027899	aai	high	ENSBTAG00000027899	ENSBTAT00000040243	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSBTAG00000031825	aai	high	ENSBTAG00000031825	ENSBTAT00000045135	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000037933	aai	high	ENSBTAG00000037933	ENSBTAT00000052636	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSBTAG00000047185	aai	high	ENSBTAG00000047185	ENSBTAT00000065094	IG_V_gene	0	1	0	1	0	0	0	0	0	0	0	0	0	2
IRAK3	aai	moderate	ENSBTAG00000007636	ENSBTAT00000033701	protein_coding	0	1	0	1	0	1	1	0	0	0	1	0	1	6
ENSBTAG00000049329	aai	high	ENSBTAG00000049329	ENSBTAT00000028607	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000050522	aai	high	ENSBTAG00000050522	ENSBTAT00000072299	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSBTAG00000052820	aai	high	ENSBTAG00000052820	ENSBTAT00000078612	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSBTAG00000054410	aai	high	ENSBTAG00000054410	ENSBTAT00000070017		0	0	0	0	0	0	0	0	0	0	1	0	0	1
FUT6	aai	high	ENSBTAG00000000414	ENSBTAT00000000529	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GABBR1	aai	high	ENSBTAG00000017239	ENSBTAT00000022907	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR156	aai	high	ENSBTAG00000001464	ENSBTAT00000001918	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
GSTM1	aai	high	ENSBTAG00000017765	ENSBTAT00000075425	protein_coding	0	0	0	0	0	0	0	0	1	0	1	0	0	2
INMT	aai	high	ENSBTAG00000001448	ENSBTAT00000001898	protein_coding	0	0	0	0	0	0	0	0	0	1	0	0	1	2
KRTAP15-1	aai	high	ENSBTAG00000052457	ENSBTAT00000082713	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
LRP1B	aai	high	ENSBTAG00000024632	ENSBTAT00000034302	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MRPL35	aai	high	ENSBTAG00000004823	ENSBTAT00000006331	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MT1E	aai	high	ENSBTAG00000001595	ENSBTAT00000082722	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NHLRC3	aai	high	ENSBTAG00000010951	ENSBTAT00000014541	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OR10J3	aai	high	ENSBTAG00000012886	ENSBTAT00000017126	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OR10K2	aai	high	ENSBTAG00000023556	ENSBTAT00000032178	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OR10R2	aai	high	ENSBTAG00000017778	ENSBTAT00000023641	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OR2B11	aai	high	ENSBTAG00000039422	ENSBTAT00000053849	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	2
OR6A2	aai	high	ENSBTAG00000019144	ENSBTAT00000025482	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR6Y1	aai	high	ENSBTAG00000038894	ENSBTAT00000055310	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
PDE1C	aai	high	ENSBTAG00000002739	ENSBTAT00000076186	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	0	1
PDZK1IP1	aai	high	ENSBTAG00000002555	ENSBTAT00000069667	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	2
PRELID3A	aai	high	ENSBTAG00000017983	ENSBTAT00000084244	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RUNDC3B	aai	high	ENSBTAG00000021313	ENSBTAT00000055755	protein_coding	0	0	0	0	0	0	0	0	0	1	0	0	0	1
SLC4A1	aai	high	ENSBTAG00000001610	ENSBTAT00000002081	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
SNX4	aai	high	ENSBTAG00000011383	ENSBTAT00000085663	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
SPTA1	aai	high	ENSBTAG00000000888	ENSBTAT00000061417	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
TOP2A	aai	high	ENSBTAG00000019262	ENSBTAT00000061367	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
TTC23	aai	high	ENSBTAG00000011185	ENSBTAT00000014852	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	0	1
VPS54	aai	high	ENSBTAG00000000115	ENSBTAT00000084043	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
WDR78	aai	high	ENSBTAG00000005442	ENSBTAT00000079940	protein_coding	0	0	0	0	0	0	0	0	0	1	0	0	0	1
WNT4	aai	high	ENSBTAG00000051083	ENSBTAT00000085976	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1
YME1L1	aai	high	ENSBTAG00000016445	ENSBTAT00000074780	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	2
SHLD1	aai	moderate	ENSBTAG00000014048	ENSBTAT00000039347	protein_coding	1	0	1	0	0	0	0	0	0	1	1	1	1	6
ZMAT2	aai	high	ENSBTAG00000005441	ENSBTAT00000007159	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
EIF5B	aai	moderate	ENSBTAG00000034255	ENSBTAT00000034635	protein_coding	0	0	0	0	1	1	1	0	0	0	1	1	0	5
ARFGAP3	aai	moderate	ENSBTAG00000001057	ENSBTAT00000053995	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ATP5MC2	aai	moderate	ENSBTAG00000005735	ENSBTAT00000007538	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	2
CABS1	aai	moderate	ENSBTAG00000019849	ENSBTAT00000026444	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CALCOCO1	aai	moderate	ENSBTAG00000015016	ENSBTAT00000019992	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	2
CD55	aai	moderate	ENSBTAG00000006984	ENSBTAT00000009178	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
DENND6B	aai	moderate	ENSBTAG00000024756	ENSBTAT00000034474	protein_coding	0	0	1	0	0	0	0	1	1	0	1	1	0	5
CNBD1	aai	moderate	ENSBTAG00000051390	ENSBTAT00000075608	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CSN3	aai	moderate	ENSBTAG00000039787	ENSBTAT00000028685	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DGKG	aai	moderate	ENSBTAG00000005091	ENSBTAT00000075621	protein_coding	0	1	0	1	1	1	0	0	0	1	0	0	0	5
DGUOK	aai	moderate	ENSBTAG00000012037	ENSBTAT00000047239	protein_coding	0	0	1	0	0	1	0	0	1	0	0	1	1	5
DNAJB4	aai	moderate	ENSBTAG00000021752	ENSBTAT00000028994	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DND1	aai	moderate	ENSBTAG00000018845	ENSBTAT00000025092	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
ENSBTAG00000012793	aai	moderate	ENSBTAG00000012793	ENSBTAT00000016998	protein_coding	1	1	1	1	0	0	0	0	0	0	0	0	1	5
ENSBTAG00000016748	aai	moderate	ENSBTAG00000016748	ENSBTAT00000022731	protein_coding	0	0	1	0	1	0	0	0	1	0	1	1	0	5
ENSBTAG00000034332	aai	moderate	ENSBTAG00000034332	ENSBTAT00000048631	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
ENSBTAG00000036111	aai	moderate	ENSBTAG00000036111	ENSBTAT00000050604	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSBTAG00000045575	aai	moderate	ENSBTAG00000045575	ENSBTAT00000063281	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSBTAG00000051406	aai	moderate	ENSBTAG00000051406	ENSBTAT00000081612	protein_coding	0	0	1	0	0	0	0	1	1	0	1	1	0	5
ENSBTAG00000053419	aai	moderate	ENSBTAG00000053419	ENSBTAT00000069609	protein_coding	0	1	0	1	0	1	0	0	0	0	1	0	1	5
ENSBTAG00000049291	aai	moderate	ENSBTAG00000049291	ENSBTAT00000076372	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSBTAG00000053448	aai	moderate	ENSBTAG00000053448	ENSBTAT00000086431	protein_coding	0	0	1	0	1	0	0	0	1	0	1	1	0	5
ENSBTAG00000051556	aai	moderate	ENSBTAG00000051556	ENSBTAT00000082774	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSBTAG00000052023	aai	moderate	ENSBTAG00000052023	ENSBTAT00000077894	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GPR84	aai	moderate	ENSBTAG00000015592	ENSBTAT00000020710	protein_coding	0	1	1	1	0	0	0	0	0	1	0	0	1	5
ENSBTAG00000053282	aai	moderate	ENSBTAG00000053282	ENSBTAT00000074687	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
HARS2	aai	moderate	ENSBTAG00000025212	ENSBTAT00000035338	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
ENSBTAG00000054846	aai	moderate	ENSBTAG00000054846	ENSBTAT00000075768	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
EP300	aai	moderate	ENSBTAG00000016198	ENSBTAT00000021556	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	2
EXO5	aai	moderate	ENSBTAG00000000532	ENSBTAT00000000690	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
FAM21A	aai	moderate	ENSBTAG00000018915	ENSBTAT00000025173	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
FCRL6	aai	moderate	ENSBTAG00000017786	ENSBTAT00000023651	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GHRHR	aai	moderate	ENSBTAG00000047599	ENSBTAT00000026967	protein_coding	0	0	0	0	0	0	1	0	0	1	0	0	0	2
HELB	aai	moderate	ENSBTAG00000020806	ENSBTAT00000063430	protein_coding	0	1	0	1	0	1	0	0	0	0	1	0	1	5
ITGA5	aai	moderate	ENSBTAG00000013745	ENSBTAT00000018261	protein_coding	0	1	1	1	0	0	0	0	0	1	0	0	1	5
KCNRG	aai	moderate	ENSBTAG00000008176	ENSBTAT00000010748	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
KIRREL3	aai	moderate	ENSBTAG00000006804	ENSBTAT00000053787	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
LRRC14	aai	moderate	ENSBTAG00000004969	ENSBTAT00000006542	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
MCAT	aai	moderate	ENSBTAG00000002413	ENSBTAT00000003130	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
MGC152010	aai	moderate	ENSBTAG00000039647	ENSBTAT00000053292	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
MINDY4	aai	moderate	ENSBTAG00000009390	ENSBTAT00000012360	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
MSMB	aai	moderate	ENSBTAG00000011660	ENSBTAT00000015482	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
NCOA4	aai	moderate	ENSBTAG00000019565	ENSBTAT00000026068	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PARG	aai	moderate	ENSBTAG00000023018	ENSBTAT00000031269	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
KLHDC7B	aai	moderate	ENSBTAG00000046800	ENSBTAT00000063783	protein_coding	0	0	1	0	0	0	0	1	1	0	1	1	0	5
PIK3C2A	aai	moderate	ENSBTAG00000004901	ENSBTAT00000046627	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
PCDHA13	aai	moderate	ENSBTAG00000030227	ENSBTAT00000020497	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
PTPRH	aai	moderate	ENSBTAG00000040559	ENSBTAT00000052445	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
RMND5B	aai	moderate	ENSBTAG00000006371	ENSBTAT00000008362	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PCDHA2	aai	moderate	ENSBTAG00000046190	ENSBTAT00000065348	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
SLC25A17	aai	moderate	ENSBTAG00000006200	ENSBTAT00000008143	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	2
SPRYD7	aai	moderate	ENSBTAG00000018829	ENSBTAT00000066562	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ST3GAL4	aai	moderate	ENSBTAG00000016506	ENSBTAT00000075324	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
TCP11L2	aai	moderate	ENSBTAG00000002127	ENSBTAT00000002748	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PCDHAC2	aai	moderate	ENSBTAG00000053546	ENSBTAT00000069968	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
TNNI3	aai	moderate	ENSBTAG00000002515	ENSBTAT00000003267	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PLXNB2	aai	moderate	ENSBTAG00000014966	ENSBTAT00000019923	protein_coding	0	0	1	0	0	0	0	1	1	0	1	1	0	5
TSPO	aai	moderate	ENSBTAG00000018073	ENSBTAT00000024060	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
UGT2B10	aai	moderate	ENSBTAG00000039991	ENSBTAT00000022664	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
VSIG8	aai	moderate	ENSBTAG00000010670	ENSBTAT00000014115	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
SHANK3	aai	moderate	ENSBTAG00000030180	ENSBTAT00000023459	protein_coding	0	0	1	0	0	0	0	1	1	0	1	1	0	5
ZFAND4	aai	moderate	ENSBTAG00000006719	ENSBTAT00000008834	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ABTB2	aai	moderate	ENSBTAG00000005923	ENSBTAT00000007781	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ACADSB	aai	moderate	ENSBTAG00000018041	ENSBTAT00000024017	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ACBD5	aai	moderate	ENSBTAG00000017278	ENSBTAT00000022964	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	2
ACKR1	aai	moderate	ENSBTAG00000003220	ENSBTAT00000004179	protein_coding	0	0	0	0	0	1	0	0	0	0	0	1	0	2
ACTR2	aai	moderate	ENSBTAG00000009761	ENSBTAT00000078525	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ADAM11	aai	moderate	ENSBTAG00000001735	ENSBTAT00000002276	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ADAM20	aai	moderate	ENSBTAG00000038377	ENSBTAT00000055268	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ADAM21	aai	moderate	ENSBTAG00000003715	ENSBTAT00000004838	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ADCY1	aai	moderate	ENSBTAG00000009520	ENSBTAT00000012528	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADCYAP1R1	aai	moderate	ENSBTAG00000020247	ENSBTAT00000026333	protein_coding	0	0	0	0	0	0	0	0	1	1	0	0	0	2
ADGRF3	aai	moderate	ENSBTAG00000005736	ENSBTAT00000007540	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADPRH	aai	moderate	ENSBTAG00000009391	ENSBTAT00000012361	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ADRB2	aai	moderate	ENSBTAG00000002144	ENSBTAT00000002779	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADTRP	aai	moderate	ENSBTAG00000019533	ENSBTAT00000026027	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AFAP1L1	aai	moderate	ENSBTAG00000019948	ENSBTAT00000013389	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AFTPH	aai	moderate	ENSBTAG00000009299	ENSBTAT00000061249	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	2
AGER	aai	moderate	ENSBTAG00000014420	ENSBTAT00000019179	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGPAT1	aai	moderate	ENSBTAG00000004442	ENSBTAT00000005821	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AHI1	aai	moderate	ENSBTAG00000017958	ENSBTAT00000023877	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	2
AHSA2	aai	moderate	ENSBTAG00000006025	ENSBTAT00000055769	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TMCO6	aai	moderate	ENSBTAG00000030589	ENSBTAT00000043202	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
WDR55	aai	moderate	ENSBTAG00000015042	ENSBTAT00000020021	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
ZMAT2	aai	moderate	ENSBTAG00000005441	ENSBTAT00000007159	protein_coding	1	0	0	0	0	0	0	1	1	0	1	1	0	5
ALOX12B	aai	moderate	ENSBTAG00000012475	ENSBTAT00000016553	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ALOX15B	aai	moderate	ENSBTAG00000008779	ENSBTAT00000011570	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
AMDHD1	aai	moderate	ENSBTAG00000016275	ENSBTAT00000021647	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AMPD2	aai	moderate	ENSBTAG00000013018	ENSBTAT00000017306	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ANKRD22	aai	moderate	ENSBTAG00000013368	ENSBTAT00000017781	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ANKRD26	aai	moderate	ENSBTAG00000008288	ENSBTAT00000008040	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	2
ANO4	aai	moderate	ENSBTAG00000004145	ENSBTAT00000005430	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ANXA6	aai	moderate	ENSBTAG00000014809	ENSBTAT00000019719	protein_coding	0	1	0	0	0	0	0	0	0	1	0	0	0	2
APCDD1L	aai	moderate	ENSBTAG00000020397	ENSBTAT00000027185	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
APIP	aai	moderate	ENSBTAG00000018257	ENSBTAT00000024300	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ARHGAP20	aai	moderate	ENSBTAG00000000333	ENSBTAT00000040101	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ARHGAP31	aai	moderate	ENSBTAG00000000210	ENSBTAT00000000253	protein_coding	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ARHGEF3	aai	moderate	ENSBTAG00000014091	ENSBTAT00000018734	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	2
ARHGEF37	aai	moderate	ENSBTAG00000015419	ENSBTAT00000020493	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ARMC3	aai	moderate	ENSBTAG00000020929	ENSBTAT00000061467	protein_coding	0	1	0	0	0	1	0	0	0	0	0	0	0	2
ASB16	aai	moderate	ENSBTAG00000019658	ENSBTAT00000026197	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ASPH	aai	moderate	ENSBTAG00000026283	ENSBTAT00000021267	protein_coding	0	0	0	0	0	0	0	1	1	0	0	0	0	2
ATG4B	aai	moderate	ENSBTAG00000015401	ENSBTAT00000020474	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	0	2
ATIC	aai	moderate	ENSBTAG00000019274	ENSBTAT00000025662	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AUH	aai	moderate	ENSBTAG00000047649	ENSBTAT00000063867	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	0	1
BBS2	aai	moderate	ENSBTAG00000014923	ENSBTAT00000032389	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BBS9	aai	moderate	ENSBTAG00000006528	ENSBTAT00000008587	protein_coding	0	0	0	0	0	0	0	1	1	0	0	0	0	2
BBX	aai	moderate	ENSBTAG00000006893	ENSBTAT00000009058	protein_coding	0	0	0	0	1	0	0	0	0	0	0	0	0	1
BCAS1	aai	moderate	ENSBTAG00000000835	ENSBTAT00000052163	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
BET1	aai	moderate	ENSBTAG00000003424	ENSBTAT00000084204	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	0	1
BMPER	aai	moderate	ENSBTAG00000010866	ENSBTAT00000046295	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSBTAG00000030499	aai	high	ENSBTAG00000030499	ENSBTAT00000083004	protein_coding	1	0	0	0	0	0	1	1	0	0	1	0	0	4
C11H2orf42	aai	moderate	ENSBTAG00000016939	ENSBTAT00000022529	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	1
C13H20orf194	aai	moderate	ENSBTAG00000003494	ENSBTAT00000061472	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
C14H8orf34	aai	moderate	ENSBTAG00000022588	ENSBTAT00000039224	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
C16H1orf116	aai	moderate	ENSBTAG00000018143	ENSBTAT00000024149	protein_coding	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSBTAG00000048643	aai	high	ENSBTAG00000048643	ENSBTAT00000077336	protein_coding	1	1	0	0	0	0	0	0	0	0	0	1	1	4
C20H5orf22	aai	moderate	ENSBTAG00000017569	ENSBTAT00000023356	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C26H10orf120	aai	moderate	ENSBTAG00000010797	ENSBTAT00000014299	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	1
C4BPB	aai	moderate	ENSBTAG00000017714	ENSBTAT00000023558	protein_coding	0	0	0	0	1	0	0	0	0	0	0	0	0	1
C8A	aai	moderate	ENSBTAG00000003774	ENSBTAT00000004913	protein_coding	0	0	0	0	0	0	0	0	0	1	0	0	0	1
C8B	aai	moderate	ENSBTAG00000003775	ENSBTAT00000033407	protein_coding	0	0	0	0	0	0	0	0	0	1	0	0	0	1
CADM3	aai	moderate	ENSBTAG00000003217	ENSBTAT00000070841	protein_coding	0	0	0	0	0	1	0	0	0	0	0	1	0	2
CAMTA2	aai	moderate	ENSBTAG00000008591	ENSBTAT00000011330	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	2
CAPG	aai	moderate	ENSBTAG00000005432	ENSBTAT00000067463	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CASC3	aai	moderate	ENSBTAG00000006250	ENSBTAT00000008203	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
CAT	aai	moderate	ENSBTAG00000020980	ENSBTAT00000079521	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
CAVIN1	aai	moderate	ENSBTAG00000039684	ENSBTAT00000055460	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	2
CCDC103	aai	moderate	ENSBTAG00000049540	ENSBTAT00000086723	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CCDC38	aai	moderate	ENSBTAG00000016274	ENSBTAT00000055406	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CCDC54	aai	moderate	ENSBTAG00000046313	ENSBTAT00000063186	protein_coding	0	0	0	0	1	0	0	1	0	0	0	0	0	2
CCDC66	aai	moderate	ENSBTAG00000019746	ENSBTAT00000061607	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	2
CCDC68	aai	moderate	ENSBTAG00000008158	ENSBTAT00000010727	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	0	1
