Gene	Ancestry	Variant rank	GeneId	TranscriptId	BioType	Egyptian_cattle_Upper	Egyptian_cattle_Middle	Egyptian_cattle_Lower	Bonsmara	Tuli	Nguni	Afrikaner	Retention breed count
PDGFRA	eut	moderate	ENSBTAG00000007173	ENSBTAT00000009441	protein_coding	0	0	0	0	0	0	1	1
PDZD3	eut	moderate	ENSBTAG00000012507	ENSBTAT00000023657	protein_coding	1	0	0	0	0	0	0	1
PLEKHG4	eut	moderate	ENSBTAG00000021570	ENSBTAT00000028741	protein_coding	1	0	0	0	0	0	0	1
PLG	eut	moderate	ENSBTAG00000001271	ENSBTAT00000001674	protein_coding	0	0	0	0	0	1	0	1
PM20D2	eut	moderate	ENSBTAG00000011667	ENSBTAT00000015493	protein_coding	0	1	0	0	0	0	0	1
PMM2	eut	moderate	ENSBTAG00000001440	ENSBTAT00000001888	protein_coding	0	0	0	0	0	0	1	1
POGK	eut	moderate	ENSBTAG00000010775	ENSBTAT00000077698	protein_coding	0	0	0	0	1	0	0	1
PPFIA2	eut	moderate	ENSBTAG00000003036	ENSBTAT00000061316	protein_coding	0	0	0	0	1	0	0	1
PRDM1	eut	moderate	ENSBTAG00000000816	ENSBTAT00000001081	protein_coding	0	1	0	0	0	0	0	1
PRSS37	eut	moderate	ENSBTAG00000018442	ENSBTAT00000024541	protein_coding	0	0	1	0	0	0	0	1
PTMA	eut	moderate	ENSBTAG00000051947	ENSBTAT00000080537	protein_coding	0	1	0	0	0	0	0	1
PTPN9	eut	moderate	ENSBTAG00000016984	ENSBTAT00000022588	protein_coding	0	0	0	0	0	0	1	1
RASSF6	eut	moderate	ENSBTAG00000011935	ENSBTAT00000015836	protein_coding	0	0	1	0	0	0	0	1
RPL13	eut	moderate	ENSBTAG00000012044	ENSBTAT00000047320	protein_coding	0	0	0	1	0	0	0	1
SCN1A	eut	moderate	ENSBTAG00000018520	ENSBTAT00000021951	protein_coding	0	0	0	0	1	0	0	1
SENP2	eut	moderate	ENSBTAG00000001749	ENSBTAT00000002296	protein_coding	0	1	0	0	0	0	0	1
SERPINI2	eut	moderate	ENSBTAG00000011423	ENSBTAT00000015176	protein_coding	1	0	0	0	0	0	0	1
SLC38A10	eut	moderate	ENSBTAG00000018271	ENSBTAT00000024319	protein_coding	0	0	0	0	1	0	0	1
SLC45A2	eut	moderate	ENSBTAG00000018235	ENSBTAT00000024272	protein_coding	0	0	0	0	1	0	0	1
SPATA16	eut	moderate	ENSBTAG00000031802	ENSBTAT00000061217	protein_coding	0	0	1	0	0	0	0	1
SPATA22	eut	moderate	ENSBTAG00000015763	ENSBTAT00000066501	protein_coding	0	0	0	0	0	1	0	1
SPG7	eut	moderate	ENSBTAG00000012041	ENSBTAT00000032500	protein_coding	0	0	0	1	0	0	0	1
STEAP4	eut	moderate	ENSBTAG00000002340	ENSBTAT00000030838	protein_coding	0	0	1	0	0	0	0	1
STPG2	eut	moderate	ENSBTAG00000049465	ENSBTAT00000073271	protein_coding	0	0	1	0	0	0	0	1
STRIP2	eut	moderate	ENSBTAG00000007206	ENSBTAT00000009480	protein_coding	0	0	0	0	0	1	0	1
TARS3	eut	moderate	ENSBTAG00000007651	ENSBTAT00000052449	protein_coding	0	0	0	0	0	0	1	1
TEPSIN	eut	moderate	ENSBTAG00000019972	ENSBTAT00000026602	protein_coding	0	0	0	0	1	0	0	1
TMEM102	eut	moderate	ENSBTAG00000031737	ENSBTAT00000025621	protein_coding	1	0	0	0	0	0	0	1
TMEM186	eut	moderate	ENSBTAG00000022530	ENSBTAT00000030501	protein_coding	0	0	0	0	0	0	1	1
TREM2	eut	moderate	ENSBTAG00000007275	ENSBTAT00000009568	protein_coding	0	1	0	0	0	0	0	1
TREML1	eut	moderate	ENSBTAG00000006485	ENSBTAT00000008500	protein_coding	0	1	0	0	0	0	0	1
TREML2	eut	moderate	ENSBTAG00000015707	ENSBTAT00000020853	protein_coding	0	1	0	0	0	0	0	1
TRIM35	eut	moderate	ENSBTAG00000009958	ENSBTAT00000013134	protein_coding	1	0	0	0	0	0	0	1
TTC21B	eut	moderate	ENSBTAG00000016512	ENSBTAT00000005682	protein_coding	0	0	0	0	1	0	0	1
VPS37A	eut	moderate	ENSBTAG00000010355	ENSBTAT00000074651	protein_coding	1	0	0	0	0	0	0	1
WDR49	eut	moderate	ENSBTAG00000031618	ENSBTAT00000044820	protein_coding	1	0	0	0	0	0	0	1
ZNHIT6	eut	moderate	ENSBTAG00000021051	ENSBTAT00000028038	protein_coding	0	0	1	0	0	0	0	1
MEMO1	eut	low	ENSBTAG00000007734	ENSBTAT00000085928	protein_coding	1	0	0	1	1	1	1	5
NEK6	eut	low	ENSBTAG00000019470	ENSBTAT00000025935	protein_coding	1	0	0	1	1	1	1	5
ENSBTAG00000049576	eut	low	ENSBTAG00000049576	ENSBTAT00000084770	protein_coding	0	0	0	1	1	1	1	4
RNF145	eut	low	ENSBTAG00000025099	ENSBTAT00000056189	protein_coding	0	0	0	1	1	1	1	4
CDH15	eut	low	ENSBTAG00000011530	ENSBTAT00000032542	protein_coding	0	0	0	1	1	0	1	3
COMMD8	eut	low	ENSBTAG00000001348	ENSBTAT00000039626	protein_coding	1	0	1	0	0	0	1	3
ENSBTAG00000004181	eut	low	ENSBTAG00000004181	ENSBTAT00000005478	protein_coding	0	0	1	1	0	0	1	3
ENSBTAG00000051820	eut	low	ENSBTAG00000051820	ENSBTAT00000079034	protein_coding	0	0	1	1	0	0	1	3
GABRB1	eut	low	ENSBTAG00000017837	ENSBTAT00000023711	protein_coding	1	0	1	0	0	0	1	3
KIF2A	eut	low	ENSBTAG00000015022	ENSBTAT00000019998	protein_coding	0	0	0	0	1	1	1	3
MRPL13	eut	low	ENSBTAG00000006767	ENSBTAT00000008903	protein_coding	0	0	0	0	1	1	1	3
MTBP	eut	low	ENSBTAG00000006770	ENSBTAT00000008906	protein_coding	0	0	0	0	1	1	1	3
NCOA2	eut	low	ENSBTAG00000020312	ENSBTAT00000027071	protein_coding	0	0	0	1	1	0	1	3
SNUPN	eut	low	ENSBTAG00000021293	ENSBTAT00000028371	protein_coding	0	0	0	0	1	1	1	3
TACR3	eut	low	ENSBTAG00000016247	ENSBTAT00000021612	protein_coding	0	0	1	0	1	1	0	3
ABCE1	eut	low	ENSBTAG00000019854	ENSBTAT00000048747	protein_coding	1	1	0	0	0	0	0	2
AHCYL2	eut	low	ENSBTAG00000001754	ENSBTAT00000002300	protein_coding	0	0	0	0	1	1	0	2
AMD1	eut	low	ENSBTAG00000003342	ENSBTAT00000004338	protein_coding	0	1	0	0	1	0	0	2
ANAPC10	eut	low	ENSBTAG00000013326	ENSBTAT00000017721	protein_coding	1	1	0	0	0	0	0	2
ANKRD11	eut	low	ENSBTAG00000016006	ENSBTAT00000021306	protein_coding	0	0	0	1	0	0	1	2
ATP10D	eut	low	ENSBTAG00000000473	ENSBTAT00000000601	protein_coding	0	0	1	0	0	0	1	2
CACNA1H	eut	low	ENSBTAG00000026461	ENSBTAT00000012991	protein_coding	0	0	0	0	0	1	1	2
CAPZA1	eut	low	ENSBTAG00000014295	ENSBTAT00000045136	protein_coding	1	0	1	0	0	0	0	2
CDS1	eut	low	ENSBTAG00000045787	ENSBTAT00000065725	protein_coding	0	0	1	0	0	1	0	2
CHN1	eut	low	ENSBTAG00000008028	ENSBTAT00000010556	protein_coding	0	1	0	1	0	0	0	2
COL14A1	eut	low	ENSBTAG00000013369	ENSBTAT00000017783	protein_coding	0	0	0	0	1	0	1	2
CTNNA3	eut	low	ENSBTAG00000045699	ENSBTAT00000063012	protein_coding	0	0	0	0	1	1	0	2
DMRT1	eut	low	ENSBTAG00000033352	ENSBTAT00000023667	protein_coding	0	0	0	0	0	1	1	2
ENSBTAG00000006819	eut	low	ENSBTAG00000006819	ENSBTAT00000008973	protein_coding	0	0	0	0	1	1	0	2
ENSBTAG00000006912	eut	low	ENSBTAG00000006912	ENSBTAT00000009091	protein_coding	0	0	0	1	0	0	1	2
ENSBTAG00000050238	eut	low	ENSBTAG00000050238	ENSBTAT00000078454	protein_coding	0	0	0	1	0	0	1	2
ENSBTAG00000052841	eut	low	ENSBTAG00000052841	ENSBTAT00000071436	protein_coding	1	0	1	0	0	0	0	2
FLNC	eut	low	ENSBTAG00000006253	ENSBTAT00000008207	protein_coding	0	0	0	0	1	1	0	2
FYN	eut	low	ENSBTAG00000011851	ENSBTAT00000015730	protein_coding	0	1	0	0	1	0	0	2
GEMIN2	eut	low	ENSBTAG00000020930	ENSBTAT00000027878	protein_coding	0	0	0	0	1	1	0	2
IRF5	eut	low	ENSBTAG00000004989	ENSBTAT00000076640	protein_coding	0	0	0	0	1	1	0	2
KCP	eut	low	ENSBTAG00000003449	ENSBTAT00000033567	protein_coding	0	0	0	0	1	1	0	2
MOV10	eut	low	ENSBTAG00000014297	ENSBTAT00000018997	protein_coding	1	0	1	0	0	0	0	2
MYO7A	eut	low	ENSBTAG00000003955	ENSBTAT00000005191	protein_coding	0	0	0	0	1	1	0	2
PGLYRP3	eut	low	ENSBTAG00000021443	ENSBTAT00000028587	protein_coding	0	0	0	0	0	1	1	2
PGLYRP4	eut	low	ENSBTAG00000054765	ENSBTAT00000066655	protein_coding	0	0	0	0	0	1	1	2
PNN	eut	low	ENSBTAG00000026995	ENSBTAT00000038642	protein_coding	0	0	0	0	1	1	0	2
POLR3B	eut	low	ENSBTAG00000004781	ENSBTAT00000038043	protein_coding	1	1	0	0	0	0	0	2
PPM1J	eut	low	ENSBTAG00000006081	ENSBTAT00000007990	protein_coding	1	0	1	0	0	0	0	2
PTPN9	eut	low	ENSBTAG00000016984	ENSBTAT00000067352	protein_coding	0	0	0	0	0	1	1	2
PTPRN2	eut	low	ENSBTAG00000004958	ENSBTAT00000077476	protein_coding	0	0	0	0	0	1	1	2
REV3L	eut	low	ENSBTAG00000010760	ENSBTAT00000060948	protein_coding	1	0	0	0	1	0	0	2
RFX4	eut	low	ENSBTAG00000025837	ENSBTAT00000000169	protein_coding	1	1	0	0	0	0	0	2
RHOC	eut	low	ENSBTAG00000014299	ENSBTAT00000018998	protein_coding	1	0	1	0	0	0	0	2
S100A12	eut	low	ENSBTAG00000012638	ENSBTAT00000034108	protein_coding	0	0	0	0	0	1	1	2
S100A8	eut	low	ENSBTAG00000012640	ENSBTAT00000016774	protein_coding	0	0	0	0	0	1	1	2
SETD5	eut	low	ENSBTAG00000019193	ENSBTAT00000025546	protein_coding	0	0	0	1	1	0	0	2
SMO	eut	low	ENSBTAG00000013287	ENSBTAT00000017670	protein_coding	0	0	0	0	1	1	0	2
SNX33	eut	low	ENSBTAG00000012206	ENSBTAT00000016186	protein_coding	0	0	0	0	1	1	0	2
ST7L	eut	low	ENSBTAG00000014294	ENSBTAT00000018992	protein_coding	1	0	1	0	0	0	0	2
STRA6	eut	low	ENSBTAG00000007348	ENSBTAT00000038724	protein_coding	0	0	0	1	0	0	1	2
TBC1D14	eut	low	ENSBTAG00000005493	ENSBTAT00000039389	protein_coding	1	0	0	0	1	0	0	2
THUMPD3	eut	low	ENSBTAG00000003112	ENSBTAT00000004047	protein_coding	0	0	0	1	1	0	0	2
TRAPPC6B	eut	low	ENSBTAG00000015023	ENSBTAT00000019999	protein_coding	0	0	0	0	1	1	0	2
USO1	eut	low	ENSBTAG00000017028	ENSBTAT00000022642	protein_coding	0	0	1	0	1	0	0	2
WASHC5	eut	low	ENSBTAG00000010275	ENSBTAT00000013591	protein_coding	1	1	0	0	0	0	0	2
ABAT	eut	low	ENSBTAG00000004038	ENSBTAT00000005280	protein_coding	0	0	0	0	0	0	1	1
ABCA3	eut	low	ENSBTAG00000014903	ENSBTAT00000019840	protein_coding	0	0	0	0	0	0	1	1
ADAM22	eut	low	ENSBTAG00000007136	ENSBTAT00000009397	protein_coding	0	0	1	0	0	0	0	1
ADAMTS9	eut	low	ENSBTAG00000003165	ENSBTAT00000004113	protein_coding	0	0	0	0	1	0	0	1
AFF1	eut	low	ENSBTAG00000018488	ENSBTAT00000024607	protein_coding	0	0	0	0	0	1	0	1
AFM	eut	low	ENSBTAG00000047833	ENSBTAT00000063031	protein_coding	0	0	1	0	0	0	0	1
AFP	eut	low	ENSBTAG00000017131	ENSBTAT00000022772	protein_coding	0	0	1	0	0	0	0	1
AGL	eut	low	ENSBTAG00000006491	ENSBTAT00000008518	protein_coding	0	0	1	0	0	0	0	1
AGMAT	eut	low	ENSBTAG00000002478	ENSBTAT00000044729	protein_coding	0	0	0	0	0	0	1	1
AGRP	eut	low	ENSBTAG00000014556	ENSBTAT00000019347	protein_coding	1	0	0	0	0	0	0	1
AIF1L	eut	low	ENSBTAG00000052140	ENSBTAT00000076033	protein_coding	0	0	0	0	1	0	0	1
AIMP1	eut	low	ENSBTAG00000004230	ENSBTAT00000005542	protein_coding	0	0	1	0	0	0	0	1
ALB	eut	low	ENSBTAG00000017121	ENSBTAT00000022763	protein_coding	0	0	1	0	0	0	0	1
ANKRD66	eut	low	ENSBTAG00000047009	ENSBTAT00000064235	protein_coding	0	0	0	0	1	0	0	1
ARMC8	eut	low	ENSBTAG00000019952	ENSBTAT00000026578	protein_coding	0	0	1	0	0	0	0	1
ATP10A	eut	low	ENSBTAG00000027081	ENSBTAT00000035192	protein_coding	0	0	0	0	1	0	0	1
ATP6V0D1	eut	low	ENSBTAG00000014553	ENSBTAT00000019346	protein_coding	1	0	0	0	0	0	0	1
