Gene	ancestry	rank	GeneId	TranscriptId	BioType	AFI	Afrikaner	Ankole	Bonsmara	Egyptian_cattle_Lower	Egyptian_cattle_Middle	Egyptian_cattle_Upper	Karamojong	Nganda	Nguni	Nkedi	Ntuuku	Tuli	Retention breed count
ENSBTAG00000052456	aft	moderate	ENSBTAG00000052456	ENSBTAT00000028258	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
ENSBTAG00000054860	aft	moderate	ENSBTAG00000054860	ENSBTAT00000071750	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	3
GALNT3	aft	moderate	ENSBTAG00000013957	ENSBTAT00000018541	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
HPX	aft	moderate	ENSBTAG00000003564	ENSBTAT00000004635	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
OR10A4	aft	moderate	ENSBTAG00000052067	ENSBTAT00000038978	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
OR2D2	aft	moderate	ENSBTAG00000018490	ENSBTAT00000024605	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
OR51D1	aft	moderate	ENSBTAG00000000232	ENSBTAT00000000283	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
PDILT	aft	moderate	ENSBTAG00000016434	ENSBTAT00000021853	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0	3
RIC3	aft	moderate	ENSBTAG00000004863	ENSBTAT00000006392	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
SMPD1	aft	moderate	ENSBTAG00000015628	ENSBTAT00000020758	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
SPPL3	aft	moderate	ENSBTAG00000016338	ENSBTAT00000065435	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
TBC1D16	aft	moderate	ENSBTAG00000003192	ENSBTAT00000004147	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
TTC17	aft	moderate	ENSBTAG00000031299	ENSBTAT00000019253	protein_coding	0	0	1	0	1	0	0	0	1	0	0	0	0	3
VPREB1	aft	moderate	ENSBTAG00000052191	ENSBTAT00000080100	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
ZNF800	aft	moderate	ENSBTAG00000020004	ENSBTAT00000026641	protein_coding	1	0	0	0	0	0	0	1	0	0	1	0	0	3
ENSBTAG00000023918	aft	low	ENSBTAG00000023918	ENSBTAT00000055181	protein_coding	1	0	1	0	0	0	1	0	0	0	0	0	0	3
ENSBTAG00000052749	aft	low	ENSBTAG00000052749	ENSBTAT00000072013		1	0	0	0	0	0	0	1	0	0	1	0	0	3
PSD3	aft	low	ENSBTAG00000033137	ENSBTAT00000039724	protein_coding	0	0	0	0	1	1	1	0	0	0	0	0	0	3
ACSM5	aft	low	ENSBTAG00000037449	ENSBTAT00000054846	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0	3
APBB1	aft	low	ENSBTAG00000015655	ENSBTAT00000020791	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
BCL6	aft	low	ENSBTAG00000001511	ENSBTAT00000001978	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	3
CDH7	aft	low	ENSBTAG00000014488	ENSBTAT00000031089	protein_coding	1	0	0	0	1	0	0	0	1	0	0	0	0	3
CENPF	aft	low	ENSBTAG00000024449	ENSBTAT00000033913	protein_coding	0	1	0	0	0	0	0	0	0	1	1	0	0	3
CLU	aft	low	ENSBTAG00000005574	ENSBTAT00000007324	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	1	3
CSRNP3	aft	low	ENSBTAG00000039091	ENSBTAT00000031383	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
EDEM1	aft	low	ENSBTAG00000012904	ENSBTAT00000017152	protein_coding	0	0	0	0	0	0	0	0	0	1	1	1	0	3
ENDOV	aft	low	ENSBTAG00000015339	ENSBTAT00000020390	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000009440	aft	low	ENSBTAG00000009440	ENSBTAT00000027669	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
ENSBTAG00000017233	aft	low	ENSBTAG00000017233	ENSBTAT00000022896	protein_coding	0	0	0	0	0	0	0	1	1	0	0	1	0	3
ENSBTAG00000022489	aft	low	ENSBTAG00000022489	ENSBTAT00000030444	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000023007	aft	low	ENSBTAG00000023007	ENSBTAT00000031254	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
ENSBTAG00000036031	aft	low	ENSBTAG00000036031	ENSBTAT00000050523	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000037603	aft	low	ENSBTAG00000037603	ENSBTAT00000052569	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000047845	aft	low	ENSBTAG00000047845	ENSBTAT00000065988	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000048052	aft	low	ENSBTAG00000048052	ENSBTAT00000065651	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000048529	aft	low	ENSBTAG00000048529	ENSBTAT00000082200		0	0	0	1	0	1	0	0	0	0	0	0	1	3
ENSBTAG00000049124	aft	low	ENSBTAG00000049124	ENSBTAT00000065973	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
ENSBTAG00000050367	aft	low	ENSBTAG00000050367	ENSBTAT00000026212	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000050737	aft	low	ENSBTAG00000050737	ENSBTAT00000078577	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000051654	aft	low	ENSBTAG00000051654	ENSBTAT00000085999	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000051676	aft	low	ENSBTAG00000051676	ENSBTAT00000065182	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000051808	aft	low	ENSBTAG00000051808	ENSBTAT00000055288	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000052456	aft	low	ENSBTAG00000052456	ENSBTAT00000028258	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
ENSBTAG00000052698	aft	low	ENSBTAG00000052698	ENSBTAT00000078728	protein_coding	1	0	0	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000052737	aft	low	ENSBTAG00000052737	ENSBTAT00000084655		0	0	0	0	0	0	0	0	1	0	0	1	1	3
GALNT3	aft	low	ENSBTAG00000013957	ENSBTAT00000018541	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
HPX	aft	low	ENSBTAG00000003564	ENSBTAT00000004635	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
LANCL2	aft	low	ENSBTAG00000018026	ENSBTAT00000023996	protein_coding	0	0	0	0	0	0	0	1	0	1	1	0	0	3
NRF1	aft	low	ENSBTAG00000014273	ENSBTAT00000068443	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
OR10A4	aft	low	ENSBTAG00000052067	ENSBTAT00000038978	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
OR2D2	aft	low	ENSBTAG00000018490	ENSBTAT00000024605	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
OR51D1	aft	low	ENSBTAG00000000232	ENSBTAT00000000283	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
PDILT	aft	low	ENSBTAG00000016434	ENSBTAT00000021853	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0	3
PTPN14	aft	low	ENSBTAG00000021553	ENSBTAT00000081533	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	3
RIC3	aft	low	ENSBTAG00000004863	ENSBTAT00000006392	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
SCARA3	aft	low	ENSBTAG00000007657	ENSBTAT00000010075	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	1	3
SH3RF1	aft	low	ENSBTAG00000001508	ENSBTAT00000001976	protein_coding	0	0	0	0	1	0	0	0	0	1	1	0	0	3
SMPD1	aft	low	ENSBTAG00000015628	ENSBTAT00000020758	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
SND1	aft	low	ENSBTAG00000010692	ENSBTAT00000014154	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	1	3
SPPL3	aft	low	ENSBTAG00000016338	ENSBTAT00000021732	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
TBC1D16	aft	low	ENSBTAG00000003192	ENSBTAT00000004147	protein_coding	1	0	1	0	0	0	0	0	0	0	0	1	0	3
TRIM68	aft	low	ENSBTAG00000011332	ENSBTAT00000015061	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
TRIO	aft	low	ENSBTAG00000005514	ENSBTAT00000061086	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	3
TSHZ1	aft	low	ENSBTAG00000000422	ENSBTAT00000000543	protein_coding	1	0	0	0	0	0	0	1	0	0	1	0	0	3
VPREB1	aft	low	ENSBTAG00000052191	ENSBTAT00000080100	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
ZADH2	aft	low	ENSBTAG00000001724	ENSBTAT00000002256	protein_coding	1	0	0	0	0	0	0	1	0	0	1	0	0	3
ZNF74	aft	low	ENSBTAG00000016257	ENSBTAT00000070389	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	3
ZNF800	aft	low	ENSBTAG00000020004	ENSBTAT00000026641	protein_coding	1	0	0	0	0	0	0	1	0	0	1	0	0	3
DDX58	aft	high	ENSBTAG00000003366	ENSBTAT00000061377	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	2
ENSBTAG00000021147	aft	high	ENSBTAG00000021147	ENSBTAT00000028185	protein_coding	0	0	0	0	0	0	0	1	0	0	1	0	0	2
ENSBTAG00000051394	aft	high	ENSBTAG00000051394	ENSBTAT00000085790	protein_coding	0	0	0	0	0	0	0	1	0	0	1	0	0	2
ENSBTAG00000051403	aft	high	ENSBTAG00000051403	ENSBTAT00000072683	protein_coding	0	0	0	0	1	0	0	0	1	0	0	0	0	2
ENSBTAG00000054836	aft	high	ENSBTAG00000054836	ENSBTAT00000079541	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	2
SPDEF	aft	high	ENSBTAG00000021993	ENSBTAT00000078397	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	2
UMOD	aft	high	ENSBTAG00000006264	ENSBTAT00000083537	protein_coding	0	1	0	0	0	0	0	0	0	1	0	0	0	2
CSMD3	aft	moderate	ENSBTAG00000038281	ENSBTAT00000069183	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
GBA3	aft	moderate	ENSBTAG00000020363	ENSBTAT00000027139	protein_coding	0	0	0	0	1	0	1	0	0	0	0	0	0	2
RSPH3	aft	moderate	ENSBTAG00000005955	ENSBTAT00000007814	protein_coding	0	0	0	0	0	0	1	1	0	0	0	0	0	2
SCAPER	aft	moderate	ENSBTAG00000007382	ENSBTAT00000046397	protein_coding	0	0	0	0	0	0	1	0	0	1	0	0	0	2
SLC34A2	aft	moderate	ENSBTAG00000001545	ENSBTAT00000002023	protein_coding	0	0	0	0	1	0	1	0	0	0	0	0	0	2
ACADS	aft	moderate	ENSBTAG00000007484	ENSBTAT00000009844	protein_coding	0	1	0	0	0	0	0	0	0	1	0	0	0	2
ADAMTS2	aft	moderate	ENSBTAG00000014665	ENSBTAT00000019526	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	2
BIRC6	aft	moderate	ENSBTAG00000027932	ENSBTAT00000061440	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	1	2
C28H1orf131	aft	moderate	ENSBTAG00000010765	ENSBTAT00000014253	protein_coding	0	0	0	0	0	0	0	0	0	1	1	0	0	2
CBX8	aft	moderate	ENSBTAG00000009107	ENSBTAT00000074913	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	2
CCDC102B	aft	moderate	ENSBTAG00000006726	ENSBTAT00000008842	protein_coding	0	1	0	0	0	0	0	0	0	1	0	0	0	2
CCDC167	aft	moderate	ENSBTAG00000012069	ENSBTAT00000016009	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	2
CMTR1	aft	moderate	ENSBTAG00000017091	ENSBTAT00000074640	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	2
DDX59	aft	moderate	ENSBTAG00000020563	ENSBTAT00000027398	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	2
